TestSet,Experiment,Mode,Fusion,Feature,PTM,EER (%),MinDCF,Used Pairs,Missing Pairs
test_3s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s30,3,film,mfcc_pitch,wav2vec2,3.753356017978672,0.6535013727031477,9895,0
test_7s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_A_augOff_ap0p0_fn0p0_en0p0_m0p25_s30,3,film,mfcc_pitch,wav2vec2,3.7600683283559047,0.6209935382898618,9895,0
test_vi,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p3_fn0p003_en0p001_m0p25_s30,3,film,mfcc_pitch,wav2vec2,3.793934486313967,0.2424875635652496,9895,0
test_vi,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p3_fn0p005_en0p002_m0p25_s30,3,film,mfcc_pitch,wav2vec2,3.807359107068432,0.2615072215787981,9895,0
test_7s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_A_augOn_ap0p3_fn0p003_en0p002_m0p25_s30,3,film,mfcc_pitch,wav2vec2,3.834512954649258,0.6107547128596555,9895,0
test_7s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p3_fn0p005_en0p002_m0p25_s30,3,film,mfcc_pitch,wav2vec2,3.8412252650264906,0.6013877194028131,9895,0
test_vi,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p2_s32,3,film,mfcc_pitch,wav2vec2,3.929094512074309,0.2365685461904089,9895,0
test_3s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p4_fn0p005_en0p002_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.044117606702957,0.6383746351724853,9895,0
full_length,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.179277632463303,0.5543180133493205,9895,0
full_length,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_A_augOn_ap0p3_fn0p003_en0p002_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.219856100798594,0.5466298658624628,9895,0
full_length,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_A_augOff_ap0p0_fn0p0_en0p0_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.253722258756657,0.5501065462643929,9895,0
full_length,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p4_fn0p003_en0p001_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.334879195427242,0.5192849671579777,9895,0
full_length,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p4_fn0p005_en0p002_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.334879195427242,0.5355224466135319,9895,0
full_length,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p2_fn0p003_en0p001_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.334879195427242,0.5378596807706417,9895,0
full_length,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p2_s30,3,film,mfcc_pitch,wav2vec2,4.341591505804475,0.552816497508762,9895,0
full_length,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s32,3,film,mfcc_pitch,wav2vec2,4.375457663762538,0.5501065462643929,9895,0
full_length,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s30,3,film,mfcc_pitch,wav2vec2,4.416036132097828,0.5345093981675567,9895,0
full_length,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p3_fn0p005_en0p002_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.416036132097828,0.5611088626975231,9895,0
test_5s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p2_fn0p003_en0p001_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.416036132097828,0.804736805535203,9895,0
test_5s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p2_s32,3,film,mfcc_pitch,wav2vec2,4.497193068768414,0.812681919801996,9895,0
