ensemble_name,family,members,weights
ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_wavlm__a60,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__wavlm__mfcc_pitch,"0.6000,0.4000"
ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_wavlm__a70,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__wavlm__mfcc_pitch,"0.7000,0.3000"
ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_hubert__eq,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__hubert__mfcc_pitch,"0.5000,0.5000"
ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_hubert__a60,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__hubert__mfcc_pitch,"0.6000,0.4000"
ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_hubert__a70,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__hubert__mfcc_pitch,"0.7000,0.3000"
ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wavlm_hubert__eq,representation_ptm,train_raw__wavlm__mfcc_pitch | train_raw__hubert__mfcc_pitch,"0.5000,0.5000"
ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wavlm_hubert__a60,representation_ptm,train_raw__wavlm__mfcc_pitch | train_raw__hubert__mfcc_pitch,"0.6000,0.4000"
ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wavlm_hubert__a70,representation_ptm,train_raw__wavlm__mfcc_pitch | train_raw__hubert__mfcc_pitch,"0.7000,0.3000"
ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_wavlm_hubert__eq,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__wavlm__mfcc_pitch | train_raw__hubert__mfcc_pitch,"0.3333,0.3333,0.3333"
ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_wavlm_hubert__a50,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__wavlm__mfcc_pitch | train_raw__hubert__mfcc_pitch,"0.5000,0.3000,0.2000"
ENS_representation_ptm_train_raw_ptm_mfcc_pitch__wav2vec2_wavlm_hubert__a60,representation_ptm,train_raw__wav2vec2__mfcc_pitch | train_raw__wavlm__mfcc_pitch | train_raw__hubert__mfcc_pitch,"0.6000,0.2500,0.1500"
ENS_representation_ptm_train_raw_ptm_mfbe_pitch__wav2vec2_wavlm__eq,representation_ptm,train_raw__wav2vec2__mfbe_pitch | train_raw__wavlm__mfbe_pitch,"0.5000,0.5000"
ENS_representation_ptm_train_raw_ptm_mfbe_pitch__wav2vec2_wavlm__a60,representation_ptm,train_raw__wav2vec2__mfbe_pitch | train_raw__wavlm__mfbe_pitch,"0.6000,0.4000"
ENS_representation_ptm_train_raw_ptm_mfbe_pitch__wav2vec2_wavlm__a70,representation_ptm,train_raw__wav2vec2__mfbe_pitch | train_raw__wavlm__mfbe_pitch,"0.7000,0.3000"
ENS_representation_ptm_train_raw_ptm_mfbe_pitch__wav2vec2_hubert__eq,representation_ptm,train_raw__wav2vec2__mfbe_pitch | train_raw__hubert__mfbe_pitch,"0.5000,0.5000"
ENS_representation_ptm_train_raw_ptm_mfbe_pitch__wav2vec2_hubert__a60,representation_ptm,train_raw__wav2vec2__mfbe_pitch | train_raw__hubert__mfbe_pitch,"0.6000,0.4000"
